gene	name
ECDH10B_0712	ybeL
ECDH10B_0713	ybeQ
ECDH10B_0714	ybeR
ECDH10B_0715	djlB
ECDH10B_0716	ybeT
ECDH10B_0717	ybeU
ECDH10B_0718	djlC
ECDH10B_0719	hscC
ECDH10B_0720	rihA
ECDH10B_0721	gltL
ECDH10B_0722	gltK
ECDH10B_0723	gltJ
EBG00001089555	sroC
ECDH10B_0724	gltI
ECDH10B_0725	biotype=protein_coding
ECDH10B_0726	lnt
ECDH10B_0727	corC
ECDH10B_0728	ybeY
ECDH10B_0729	ybeZ
ECDH10B_0730	miaB
ECDH10B_0731	ubiF
ECDH10B_0739	asnB
ECDH10B_0740	nagD
ECDH10B_0741	nagC
ECDH10B_0742	nagA
ECDH10B_0743	nagB
ECDH10B_0744	nagE
ECDH10B_0745	glnS
ECDH10B_0746	ybfM
ECDH10B_0747	ybfN
ECDH10B_0748	fur
ECDH10B_0749	fldA
ECDH10B_0750	ybfE
ECDH10B_0751	ybfF
ECDH10B_0752	seqA
ECDH10B_0753	pgm
ECDH10B_0754	ybfP
ECDH10B_0758	potE
ECDH10B_0759	speF
ECDH10B_0760	kdpE
ECDH10B_0761	kdpD
ECDH10B_0762	kdpC
ECDH10B_0763	kdpB
ECDH10B_0764	kdpA
ECDH10B_0765	kdpF
ECDH10B_0766	ybfA
ECDH10B_0767	rhsC
ECDH10B_0768	ybfB
ECDH10B_0769	ybfO
ECDH10B_0770	ybfC
ECDH10B_0771	ybfQ
ECDH10B_0773	ybfD
ECDH10B_0774	ybgA
ECDH10B_0775	phr
ECDH10B_0776	ybgH
ECDH10B_0777	ybgI
ECDH10B_0778	ybgJ
ECDH10B_0779	ybgK
ECDH10B_0780	ybgL
ECDH10B_0781	nei
ECDH10B_0782	abrB
ECDH10B_0783	ybgO
ECDH10B_0784	ybgP
ECDH10B_0785	ybgQ
ECDH10B_0786	ybgD
ECDH10B_0787	gltA
ECDH10B_0788	sdhC
ECDH10B_0789	sdhD
ECDH10B_0790	sdhA
ECDH10B_0791	sdhB
ECDH10B_0792	sucA
ECDH10B_0793	sucB
ECDH10B_0794	sucC
ECDH10B_0795	sucD
ECDH10B_0796	mngR
ECDH10B_0797	mngA
ECDH10B_0798	mngB
ECDH10B_0799	cydA
ECDH10B_0800	cydB
ECDH10B_0801	ybgT
ECDH10B_0802	ybgE
ECDH10B_0803	ybgC
ECDH10B_0804	tolQ
ECDH10B_0805	tolR
ECDH10B_0806	tolA
ECDH10B_0807	tolB
ECDH10B_0808	pal
ECDH10B_0809	ybgF
ECDH10B_0817	nadA
ECDH10B_0818	pnuC
ECDH10B_0819	zitB
ECDH10B_0820	ybgS
ECDH10B_0821	aroG
ECDH10B_0822	gpmA
ECDH10B_0823	galM
ECDH10B_0826	galT
ECDH10B_0827	galE
ECDH10B_0828	modF
ECDH10B_0829	modE
ECDH10B_0830	ybhT
ECDH10B_0831	modA
ECDH10B_0832	modB
ECDH10B_0833	modC
ECDH10B_0834	ybhA
ECDH10B_0835	pgl
ECDH10B_0836	ybhD
ECDH10B_0837	ybhH
ECDH10B_0838	ybhI
ECDH10B_0839	ybhJ
ECDH10B_0840	ybhC
ECDH10B_0841	ybhB
ECDH10B_0842	bioA
ECDH10B_0843	bioB
ECDH10B_0844	bioF
ECDH10B_0845	bioC
ECDH10B_0846	bioD
ECDH10B_0847	uvrB
ECDH10B_0848	ybhK
ECDH10B_0849	moaA
ECDH10B_0850	moaB
ECDH10B_0851	moaC
ECDH10B_0852	moaD
ECDH10B_0853	moaE
ECDH10B_0854	ybhL
ECDH10B_0855	ybhM
ECDH10B_0856	ybhN
ECDH10B_0857	ybhO
ECDH10B_0858	ybhP
ECDH10B_0859	ybhQ
ECDH10B_0860	ybhR
ECDH10B_0861	ybhS
ECDH10B_0862	ybhF
ECDH10B_0863	ybhG
ECDH10B_0864	ybiH
ECDH10B_0865	rhlE
ECDH10B_0866	ybiA
ECDH10B_0867	dinG
ECDH10B_0868	ybiB
ECDH10B_0869	ybiC
ECDH10B_0870	ybiJ
ECDH10B_0871	ybiI
ECDH10B_0872	ybiX
ECDH10B_0873	fiu
ECDH10B_0874	ybiM
ECDH10B_0875	ybiN
ECDH10B_0876	ybiO
ECDH10B_0877	glnQ
ECDH10B_0878	glnP
ECDH10B_0879	glnH
ECDH10B_0880	dps
ECDH10B_0881	rhtA
ECDH10B_0882	ompX
ECDH10B_0883	ybiP
ECDH10B_0884	yliL
ECDH10B_0886	mntR
ECDH10B_0887	ybiR
ECDH10B_0888	ybiS
ECDH10B_0889	ybiT
ECDH10B_0890	ybiU
ECDH10B_0891	ybiV
ECDH10B_0892	ybiW
ECDH10B_0893	ybiY
ECDH10B_0894	fsaA
ECDH10B_0895	moeB
ECDH10B_0896	moeA
ECDH10B_0897	iaaA
ECDH10B_0898	gsiA
ECDH10B_0899	gsiB
ECDH10B_0900	gsiC
ECDH10B_0901	gsiD
ECDH10B_0902	yliE
ECDH10B_0903	yliF
ECDH10B_0904	yliG
ECDH10B_0905	bssR
ECDH10B_0906	yliI
ECDH10B_0907	yliJ
ECDH10B_0908	dacC
ECDH10B_0909	deoR
ECDH10B_0910	ybjG
ECDH10B_0911	cmr
ECDH10B_0912	ybjH
ECDH10B_0913	ybjI
ECDH10B_0914	ybjJ
ECDH10B_0915	ybjK
EBG00001089517	RybB
ECDH10B_0917	ybjL
ECDH10B_0918	ybjM
ECDH10B_0919	grxA
ECDH10B_0920	ybjC
ECDH10B_0921	nfsA
ECDH10B_0922	rimK
ECDH10B_0923	ybjN
ECDH10B_0924	potF
ECDH10B_0925	potG
ECDH10B_0926	potH
ECDH10B_0927	potI
ECDH10B_0928	ybjO
ECDH10B_0929	rumB
ECDH10B_0930	artJ
ECDH10B_0931	artM
ECDH10B_0932	artQ
ECDH10B_0933	artI
ECDH10B_0934	artP
ECDH10B_0935	ybjP
ECDH10B_0936	ybjQ
ECDH10B_0937	ybjR
ECDH10B_0938	ybjS
ECDH10B_0939	ybjT
ECDH10B_0940	ltaE
ECDH10B_0941	poxB
ECDH10B_0942	hcr
ECDH10B_0943	hcp
ECDH10B_0944	ybjE
ECDH10B_0945	aqpZ
ECDH10B_0946	ybjD
ECDH10B_0947	ybjX
ECDH10B_0948	macA
ECDH10B_0949	macB
ECDH10B_0950	cspD
ECDH10B_0951	clpS
ECDH10B_0952	clpA
EBG00001089672	CRISPR-DR4
ECDH10B_0954	infA
ECDH10B_0955	aat
ECDH10B_0956	cydC
ECDH10B_0957	cydD
ECDH10B_0958	trxB
ECDH10B_0959	lrp
ECDH10B_0960	ftsK
ECDH10B_0961	lolA
ECDH10B_0962	ycaJ
ECDH10B_0963	serS
EBG00001089531	STnc130
ECDH10B_0964	dmsA
ECDH10B_0965	dmsB
ECDH10B_0966	dmsC
ECDH10B_0967	ycaC
ECDH10B_0968	ycaD
ECDH10B_0969	ycaM
ECDH10B_0970	ycaN
ECDH10B_0971	ycaK
ECDH10B_0972	pflA
ECDH10B_0973	pflB
ECDH10B_0974	focA
ECDH10B_0975	ycaO
ECDH10B_0976	ycaP
ECDH10B_0977	serC
ECDH10B_0978	aroA
ECDH10B_0979	ycaL
ECDH10B_0980	cmk
ECDH10B_0981	rpsA
ECDH10B_0982	ihfB
ECDH10B_0983	ycaI
ECDH10B_0984	msbA
ECDH10B_0985	lpxK
ECDH10B_0986	ycaQ
ECDH10B_0987	ycaR
ECDH10B_0988	kdsB
ECDH10B_0989	ycbJ
ECDH10B_0990	ycbC
ECDH10B_0991	smtA
ECDH10B_0992	mukF
ECDH10B_0993	mukE
ECDH10B_0994	mukB
ECDH10B_0995	ycbB
ECDH10B_0996	ycbK
ECDH10B_0997	ycbL
ECDH10B_0998	aspC
ECDH10B_0999	ompF
ECDH10B_1000	asnS
ECDH10B_1001	pncB
ECDH10B_1002	pepN
ECDH10B_1003	ssuB
ECDH10B_1004	ssuC
ECDH10B_1005	ssuD
ECDH10B_1006	ssuA
ECDH10B_1007	ssuE
ECDH10B_1008	ycbQ
ECDH10B_1009	ycbR
ECDH10B_1010	ycbS
ECDH10B_1011	ycbT
ECDH10B_1012	ycbU
ECDH10B_1013	ycbV
ECDH10B_1014	ycbF
ECDH10B_1015	pyrD
ECDH10B_1016	ycbW
ECDH10B_1017	ycbX
ECDH10B_1018	rlmL
ECDH10B_1019	uup
ECDH10B_1020	pqiA
ECDH10B_1021	pqiB
ECDH10B_1022	ymbA
ECDH10B_1023	rmf
ECDH10B_1024	fabA
ECDH10B_1025	ycbZ
ECDH10B_1026	ycbG
ECDH10B_1027	ompA
ECDH10B_1028	sulA
ECDH10B_1029	sxy
ECDH10B_1030	yccS
ECDH10B_1031	yccF
ECDH10B_1032	helD
ECDH10B_1033	mgsA
